,Source,Location ID,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Minute,GHI (w/m2),Temperature (c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
7140,NSRDB,405740,33.49,-107.74,2165,2015,10,25,12,30,0,3.5460144042968977,91.33428955078125,101.81131528406677,129.9185791015625,2.5755844116210938
7141,NSRDB,405740,33.49,-107.74,2165,2015,10,25,13,30,0,4.731469726562523,84.79457092285156,89.53714510046396,128.799560546875,2.6146092414855957
7142,NSRDB,405740,33.49,-107.74,2165,2015,10,25,14,30,188,7.735681152343773,68.63796997070312,77.74379325719026,130.08958435058594,2.574092388153076
7143,NSRDB,405740,33.49,-107.74,2165,2015,10,25,15,30,398,11.054132080078148,52.60575866699219,66.78724420885406,132.61947631835938,2.628131628036499
7144,NSRDB,405740,33.49,-107.74,2165,2015,10,25,16,30,576,13.823236083984398,41.97907257080078,57.23292647288074,137.642333984375,2.6338448524475098
7145,NSRDB,405740,33.49,-107.74,2165,2015,10,25,17,30,703,15.962487792968773,35.70283126831055,49.94765757168704,143.46792602539062,2.467088222503662
7146,NSRDB,405740,33.49,-107.74,2165,2015,10,25,18,30,766,17.447595214843773,32.076499938964844,46.05573965594866,150.94537353515625,2.2941393852233887
7147,NSRDB,405740,33.49,-107.74,2165,2015,10,25,19,30,759,18.146386718750023,30.50031280517578,46.433601944959506,158.88267517089844,2.1487607955932617
7148,NSRDB,405740,33.49,-107.74,2165,2015,10,25,20,30,590,18.059136962890648,30.448612213134766,50.98542142826363,166.74819946289062,2.0056166648864746
7149,NSRDB,405740,33.49,-107.74,2165,2015,10,25,21,30,385,17.291070556640648,31.69086265563965,58.73529474957335,174.05807495117188,1.8679863214492798
7150,NSRDB,405740,33.49,-107.74,2165,2015,10,25,22,30,255,15.744805908203148,34.926055908203125,68.58329311333435,182.0850067138672,1.8197455406188965
7151,NSRDB,405740,33.49,-107.74,2165,2015,10,25,23,30,95,13.300653076171898,44.507659912109375,79.71940473173922,187.92092895507812,1.901618480682373
7152,NSRDB,405740,33.49,-107.74,2165,2015,10,26,0,30,0,11.200463867187523,55.80462646484375,91.62448102101757,183.89401245117188,2.0281383991241455
7153,NSRDB,405740,33.49,-107.74,2165,2015,10,26,1,30,0,10.112023925781273,60.2094841003418,103.95668708571971,184.13937377929688,2.0758819580078125
7154,NSRDB,405740,33.49,-107.74,2165,2015,10,26,2,30,0,9.356225585937523,61.9865608215332,116.45938934055344,184.07040405273438,2.1006951332092285
7155,NSRDB,405740,33.49,-107.74,2165,2015,10,26,3,30,0,8.741876220703148,62.75386047363281,128.86994930716355,177.82369995117188,2.2215166091918945
7156,NSRDB,405740,33.49,-107.74,2165,2015,10,26,4,30,0,8.190972900390648,62.97735595703125,140.78423535307786,171.69003295898438,2.37502121925354
7157,NSRDB,405740,33.49,-107.74,2165,2015,10,26,5,30,0,7.660455322265648,63.28189468383789,151.30524983269376,172.12701416015625,2.4266257286071777
7158,NSRDB,405740,33.49,-107.74,2165,2015,10,26,6,30,0,7.163262939453148,63.82838439941406,158.10169318110758,178.3880615234375,2.3604631423950195
7159,NSRDB,405740,33.49,-107.74,2165,2015,10,26,7,30,0,6.756524658203148,64.4083251953125,157.41401860142838,188.19924926757812,2.268204689025879
7160,NSRDB,405740,33.49,-107.74,2165,2015,10,26,8,30,0,6.427972412109398,64.78192138671875,149.75572425538044,196.3156280517578,2.140178680419922
7161,NSRDB,405740,33.49,-107.74,2165,2015,10,26,9,30,0,6.208886718750023,65.0981674194336,138.90815553834986,204.542724609375,1.9365947246551514
7162,NSRDB,405740,33.49,-107.74,2165,2015,10,26,10,30,0,6.121240234375023,65.07936096191406,126.88027928963947,210.42572021484375,1.695326805114746
7163,NSRDB,405740,33.49,-107.74,2165,2015,10,26,11,30,0,5.887597656250023,64.37488555908203,114.44542264473208,212.19659423828125,1.4242479801177979
